Original Image Name,Actin Volume,GFP Volume,Condition
AAV2_high_11-16_P13_various-size_6dpi_Subset10,6063910,6063910,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset1 1,12479800,12479800,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset5,11130900,11130900,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset7,9236220,9236220,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset4,11102400,11102400,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset6,2978030,2978030,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset9,6349720,6349720,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset8,10270300,10270300,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset3,15121300,15121300,AAV2
AAV2_high_11-16_P13_various-size_6dpi_Subset2,18800300,18800300,AAV2
AAV6_high_11-16_P13_various-size_6dpi_Subset3,20266500,20266500,AAV6
AAV6_high_11-16_P13_various-size_6dpi_Subset,4508490,4508490,AAV6
AAV6_high_11-16_P13_various-size_6dpi_Subset5,4295490,4295490,AAV6
AAV6_high_11-16_P13_various-size_6dpi_Subset6,4049810,4049810,AAV6
AAV6_high_11-16_P13_various-size_6dpi_Subset4,2226150,2226150,AAV6
AAV6_high_11-16_P13_various-size_6dpi_Subset2,18653400,18653400,AAV6
AAV7_high_11-16_P13_various-size_6dpi_2,5373390,5373390,AAV7
AAV7_high_11-16_P13_various-size_6dpi_3,12349900,12349900,AAV7
AAV7_high_11-16_P13_various-size_6dpi_5,15647000,15647000,AAV7
AAV7_high_11-16_P13_various-size_6dpi_4,13274800,13274800,AAV7
AAV7_high_11-16_P13_various-size_6dpi_1,2996040,2996040,AAV7
AAV8_high_11-16_P13_various-size_6dpi_4,1544620,1544620,AAV8
AAV8_high_11-16_P13_various-size_6dpi_5,3856490,3856490,AAV8
AAV8_high_11-16_P13_various-size_6dpi_11,5218180,5218180,AAV8
AAV8_high_11-16_P13_various-size_6dpi_10,6533420,6533420,AAV8
AAV8_high_11-16_P13_various-size_6dpi_1,7828450,7828450,AAV8
AAV8_high_11-16_P13_various-size_6dpi_9,3381050,3381050,AAV8
AAV8_high_11-16_P13_various-size_6dpi_13,3829880,3829880,AAV8
AAV8_high_11-16_P13_various-size_6dpi_6,3493080,3493080,AAV8
AAV8_high_11-16_P13_various-size_6dpi_8,10593400,10593400,AAV8
AAV8_high_11-16_P13_various-size_6dpi_2,9357770,9357770,AAV8
AAV8_high_11-16_P13_various-size_6dpi_14,5698970,5698970,AAV8
AAV8_high_11-16_P13_various-size_6dpi_12,8346500,8346500,AAV8
AAV8_high_11-16_P13_various-size_6dpi_3,2308960,2308960,AAV8
AAV8_high_11-16_P13_various-size_6dpi_7,6971830,6971830,AAV8
AAVDJ_high_11-16_P13_various-size_6dpi_13,2302330,2302330,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_4,8920550,8920550,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_10b,2277390,2277390,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_2,6570440,6570440,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_12,3874880,3874880,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_3,7764440,7764440,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_8,3899260,3899260,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_6,15697900,15697900,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_7,10347300,10347300,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_11,3518560,3518560,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_10,2788340,2788340,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_5,13144000,13144000,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_1,17467900,17467900,AAVDJ
AAVDJ_high_11-16_P13_various-size_6dpi_9,14803100,14803100,AAVDJ
